model,representation,dataset,stage,accuracy,balanced_accuracy,f1,mcc,roc_auc
SVM,Physicochemical,balanced,cv_mean,0.8615566037735849,0.8618810625122748,0.8521592605141649,0.7300811974078848,0.915015254937788
SVM,Physicochemical,balanced,cv_std,0.020604759505404153,0.020521393320415728,0.026262621395138144,0.03651971822901459,0.017538646427729992
SVM,Physicochemical,balanced,test,0.8669811320754717,0.867366700962295,0.8580060422960725,0.7412149238693561,0.9302006828271465
SVM,Physicochemical,imbalanced,cv_mean,0.8782187322963579,0.859093176956072,0.817772531031058,0.7273034474859544,0.9145295810552998
SVM,Physicochemical,imbalanced,cv_std,0.008690225421706206,0.013540944157188584,0.015731687978320624,0.020665182102743842,0.0075461193451774435
SVM,Physicochemical,imbalanced,test,0.8725868725868726,0.8532671313302449,0.8099808061420346,0.7146487962580043,0.9264920717466046
Random Forest,Physicochemical,balanced,cv_mean,0.879245283018868,0.8793899586932159,0.8760310923966899,0.7602244515325497,0.938061798133152
Random Forest,Physicochemical,balanced,cv_std,0.014287859651755603,0.014223727567085172,0.017004746017504922,0.026761797838610338,0.011118614695267957
Random Forest,Physicochemical,balanced,test,0.8867924528301887,0.8869597103502782,0.8839458413926499,0.7750681490781601,0.949907615409536
Random Forest,Physicochemical,imbalanced,cv_mean,0.8999375279701376,0.8741549396034426,0.8442880211823887,0.7748435868499578,0.9384944772406065
Random Forest,Physicochemical,imbalanced,cv_std,0.011348567080948387,0.014678462974234766,0.018979554835870518,0.025958709284007658,0.0065715996764961655
Random Forest,Physicochemical,imbalanced,test,0.9009009009009009,0.8766081151356229,0.8469184890656064,0.7770567329425606,0.9481213466545876
Gradient Boosting,Physicochemical,balanced,cv_mean,0.8627358490566037,0.8629357176188565,0.8571535017230267,0.7287321250753485,0.9284039446603938
Gradient Boosting,Physicochemical,balanced,cv_std,0.01714170024088779,0.01705213322629225,0.021459878766202145,0.03126926834823916,0.013019189298531183
Gradient Boosting,Physicochemical,balanced,test,0.8594339622641509,0.8596911257391657,0.8534906588003933,0.7220956160456018,0.9395566251677698
Gradient Boosting,Physicochemical,imbalanced,cv_mean,0.8798285188049864,0.8496577985749305,0.8109053250531881,0.7286197631587658,0.9295074888469073
Gradient Boosting,Physicochemical,imbalanced,cv_std,0.01387910853425012,0.019887435802262873,0.025516453006084416,0.03198333708448254,0.009450617435308992
Gradient Boosting,Physicochemical,imbalanced,test,0.8770913770913771,0.8508663286738345,0.8107036669970268,0.7226621470701522,0.9360750689553154
