model,representation,dataset,stage,accuracy,balanced_accuracy,f1,mcc,roc_auc
SVM,AAC,balanced,cv_mean,0.8896226415094339,0.889805347905862,0.8858267714081194,0.7817979349835751,0.9430264211014631
SVM,AAC,balanced,cv_std,0.014883738656577316,0.0148039857502065,0.017622948290929853,0.027449664874644862,0.013454154649787215
SVM,AAC,balanced,test,0.8962264150943396,0.8964260157854826,0.8929961089494164,0.7945737842842002,0.9569726335126436
SVM,AAC,imbalanced,cv_mean,0.9060490515374845,0.8804895946028857,0.853609047984226,0.7891177829040747,0.9448076423304965
SVM,AAC,imbalanced,cv_std,0.006001246989577165,0.007482165698137087,0.009475574961143509,0.013701684692739321,0.01153448824599832
SVM,AAC,imbalanced,test,0.9163449163449163,0.8946384830381868,0.8712871287128713,0.8123419162902971,0.9611167361579439
Random Forest,AAC,balanced,cv_mean,0.8964622641509434,0.8965895618524268,0.8941744665167934,0.7942628153647403,0.95475413841812
Random Forest,AAC,balanced,cv_std,0.01065896843252513,0.010608923807055234,0.012090202115060063,0.020404224933519354,0.00883591780491662
Random Forest,AAC,balanced,test,0.910377358490566,0.9105079906440576,0.9087415946205571,0.8217110514371078,0.9699830183238338
Random Forest,AAC,imbalanced,cv_mean,0.9174709563264895,0.8955735671461331,0.872852105139656,0.815120953839547,0.9576419193640348
Random Forest,AAC,imbalanced,cv_std,0.008620826030837796,0.008474586789685946,0.012419806475950467,0.019565491790206672,0.00548445257494493
Random Forest,AAC,imbalanced,test,0.9195624195624196,0.9015707662538842,0.8780487804878049,0.8196411439272001,0.9642654352408061
Gradient Boosting,AAC,balanced,cv_mean,0.8783018867924527,0.8784081263076452,0.8761417764214713,0.7576964143098627,0.9408770331128457
Gradient Boosting,AAC,balanced,cv_std,0.013938060676502228,0.013930450079315761,0.014553374806108138,0.02774658854578672,0.011320615735569394
Gradient Boosting,AAC,balanced,test,0.8971698113207547,0.8972893399930935,0.8954937679769894,0.7951322843924317,0.956171611051974
Gradient Boosting,AAC,imbalanced,cv_mean,0.899131341299056,0.8746641731454334,0.8441350073724461,0.7732885849915148,0.9440449527431257
Gradient Boosting,AAC,imbalanced,cv_std,0.005788618675238039,0.006814990632750266,0.008496090283200601,0.01297455332422994,0.007312845235290359
Gradient Boosting,AAC,imbalanced,test,0.888030888030888,0.8645719441448163,0.8287401574803149,0.7478619104798803,0.9471327268083198
